id,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes
933,True,3,1988,1051.7906992326418,0,1108,2,"[['WALK', 658, 803], ['TRAM', 1108, 4426], ['WALK', 220, 247]]"
934,True,3,1181,716.064353375671,0,598,2,"[['WALK', 260, 329], ['TRAM', 598, 2297], ['WALK', 321, 386]]"
935,True,3,774,569.7547067610217,0,300,2,"[['WALK', 312, 394], ['BUS', 300, 1799], ['WALK', 160, 174]]"
936,True,3,2609,1589.3977293138944,0,1334,2,"[['WALK', 1149, 1436], ['TRAM', 1334, 5123], ['WALK', 124, 152]]"
937,True,3,1633,1151.1908496195474,0,720,2,"[['WALK', 228, 293], ['BUS', 720, 5742], ['WALK', 683, 857]]"
938,True,3,1135,550.402699242322,0,686,2,"[['WALK', 298, 359], ['TRAM', 686, 2553], ['WALK', 149, 190]]"
939,True,3,1825,945.4963759317708,1,1044,5,"[['WALK', 497, 622], ['BUS', 744, 4563], ['WALK', 6, 5], ['BUS', 300, 1799], ['WALK', 273, 317]]"
940,True,3,1338,377.8419398407203,0,1006,2,"[['WALK', 180, 210], ['TRAM', 1006, 3712], ['WALK', 150, 167]]"
941,True,3,1044,241.18926315288488,1,823,13,"[['WALK', 184, 212], ['TRAM', 397, 1669], ['TRAM', 426, 1499], ['WALK', 24, 28]]"
942,True,3,1536,956.710398489484,0,772,2,"[['WALK', 353, 436], ['BUS', 772, 4498], ['WALK', 409, 519]]"
943,True,3,1075,730.7538345789211,0,475,2,"[['WALK', 529, 647], ['BUS', 475, 2250], ['WALK', 69, 82]]"
944,True,3,2227,717.7720075154732,2,1415,243,"[['WALK', 216, 268], ['BUS', 296, 1647], ['WALK', 156, 203], ['SUBWAY', 254, 3414], ['WALK', 69, 87], ['TRAM', 865, 2776], ['WALK', 128, 157]]"
945,True,3,2083,1144.3076315724088,0,1167,2,"[['WALK', 579, 723], ['TRAM', 1167, 4657], ['WALK', 335, 420]]"
946,True,3,1829,646.4808345821477,1,1162,145,"[['WALK', 132, 154], ['TRAM', 897, 3580], ['WALK', 138, 180], ['SUBWAY', 265, 2252], ['WALK', 252, 311]]"
947,True,1,63,81.44650375934997,0,0,0,"[['WALK', 63, 81]]"
948,True,3,1825,1613.7820450992936,1,401,133,"[['WALK', 835, 1038], ['RAIL', 240, 3520], ['WALK', 229, 301], ['TRAM', 161, 934], ['WALK', 227, 273]]"
949,True,3,2502,1175.036488713883,2,1316,239,"[['WALK', 368, 448], ['BUS', 420, 2389], ['WALK', 160, 209], ['SUBWAY', 254, 3527], ['WALK', 69, 87], ['TRAM', 642, 1957], ['WALK', 350, 428]]"
950,True,3,879,914.210413526884,0,136,2,"[['WALK', 612, 754], ['BUS', 136, 760], ['WALK', 129, 159]]"
